#  it lists all the configuration for HyCal modules
#  type 0 -> lead-glass, type 1 -> lead-tungstate
#  geometry and tdc can also be calculated in the program
#  id  crate  slot  chan   TDC      type  size       x       y  HV crate  slot  chan
  W882     6    15    32    30         1  20.5  297.25  174.25         1    10    32
  W879     6    15    33    30         1  20.5  235.75  174.25         1    10    17
  W880     6    15    34    30         1  20.5  256.25  174.25         1    10    22
  W849     6    15    35    30         1  20.5  317.75  153.75         1    10     7
  W850     6    15    36    30         1  20.5  338.25  153.75         1    10    12
  W986     6    15    40    36         1  20.5  338.25  235.75         1    10    11
 W1018     6    15    41    36         1  20.5  297.25  256.25         1    10    16
  W984     6    15    42    36         1  20.5  297.25  235.75         1    10     1
  W985     6    15    43    36         1  20.5  317.75  235.75         1    10     6
  W951     6    15    44    30         1  20.5  317.75  215.25         1    10    44
  W952     6    15    45    30         1  20.5  338.25  215.25         1    10    46
  W949     6    15    46    30         1  20.5  276.75  215.25         1    10    34
  W950     6    15    47    30         1  20.5  297.25  215.25         1    10    39
  W947     6    15    48    30         1  20.5  235.75  215.25         1    10    24
  W948     6    15    49    30         1  20.5  256.25  215.25         1    10    29
  W917     6    15    50    30         1  20.5  317.75  194.75         1    10    14
  W918     6    15    51    30         1  20.5  338.25  194.75         1    10    19
  W915     6    15    52    30         1  20.5  276.75  194.75         1    10     4
  W916     6    15    53    30         1  20.5  297.25  194.75         1    10     9
  W913     6    15    54    30         1  20.5  235.75  194.75         1    10    47
  W914     6    15    55    30         1  20.5  256.25  194.75         1    10    41
  W883     6    15    56    30         1  20.5  317.75  174.25         1    10    37
  W884     6    15    57    30         1  20.5  338.25  174.25         1    10    42
  W881     6    15    58    30         1  20.5  276.75  174.25         1    10    27
  W576     6    13     0    18         1  20.5  297.25  -10.25         1     8    24
  W577     6    13     1    18         1  20.5  317.75  -10.25         1     8    29
  W543     6    13     2    18         1  20.5  317.75  -30.75         1     8    14
  W544     6    13     3    18         1  20.5  338.25  -30.75         1     8    19
  W510     6    13     4    18         1  20.5  338.25  -51.25         1     8     4
  W542     6    13     5    18         1  20.5  297.25  -30.75         1     8     9
  W508     6    13     6    18         1  20.5  297.25  -51.25         1     8    47
  W509     6    13     7    18         1  20.5  317.75  -51.25         1     8    41
  W475     6    13     8    18         1  20.5  317.75  -71.75         1     8    37
  W476     6    13     9    18         1  20.5  338.25  -71.75         1     8    42
  W442     6    13    10    18         1  20.5  338.25  -92.25         1     8    27
  W474     6    13    11    18         1  20.5  297.25  -71.75         1     8    32
  W440     6    13    12    18         1  20.5  297.25  -92.25         1     8    17
  W441     6    13    13    18         1  20.5  317.75  -92.25         1     8    22
  W407     6    13    14    12         1  20.5  317.75 -112.75         1     8     7
  W408     6    13    15    12         1  20.5  338.25 -112.75         1     8    12
  W405     6    13    16    12         1  20.5  276.75 -112.75         1     8    36
  W406     6    13    17    12         1  20.5  297.25 -112.75         1     8     2
  W403     6    13    18    12         1  20.5  235.75 -112.75         1     8    40
  W404     6    13    19    12         1  20.5  256.25 -112.75         1     8    45
  W373     6    13    20    12         1  20.5  317.75 -133.25         1     8    30
  W374     6    13    21    12         1  20.5  338.25 -133.25         1     8    35
  W371     6    13    22    12         1  20.5  276.75 -133.25         1     8    20
  W372     6    13    23    12         1  20.5  297.25 -133.25         1     8    25
  W369     6    13    24    12         1  20.5  235.75 -133.25         1     8    10
  W370     6    13    25    12         1  20.5  256.25 -133.25         1     8    15
  W339     6    13    26    12         1  20.5  317.75 -153.75         1     8    31
  W340     6    13    27    12         1  20.5  338.25 -153.75         1     8     5
  W337     6    13    28    12         1  20.5  276.75 -153.75         1     8    43
  W338     6    13    29    12         1  20.5  297.25 -153.75         1     8    48
  W335     6    13    30    12         1  20.5  235.75 -153.75         1     8    33
  W336     6    13    31    12         1  20.5  256.25 -153.75         1     8    38
  G893     6    13    32    60         0  38.2   281.8   558.4         5     0    21
  G894     6    13    33    60         0  38.2     320   558.4         5     0    26
  G864     6    13    34    60         0  38.2     320   520.2         5     0    27
  G892     6    13    35    60         0  38.2   243.6   558.4         5     0    16
  G862     6    13    36    60         0  38.2   243.6   520.2         5     0    17
  G863     6    13    37    60         0  38.2   281.8   520.2         5     0    22
  G833     6    13    38    60         0  38.2   281.8     482         5     0     7
  G834     6    13    39    60         0  38.2     320     482         5     0    12
  G804     6    13    40    60         0  38.2     320   443.8         5     0    11
  G832     6    13    41    60         0  38.2   243.6     482         5     0     2
  G802     6    13    42    60         0  38.2   243.6   443.8         5     0     1
  G803     6    13    43    60         0  38.2   281.8   443.8         5     0     6
  G773     6    13    44    60         0  38.2   281.8   405.6         5     0    30
  G774     6    13    45    60         0  38.2     320   405.6         5     0    29
  G744     6    13    46    60         0  38.2     320   367.4         5     0    20
  G772     6    13    47    60         0  38.2   243.6   405.6         5     0    25
  G742     6    13    48    60         0  38.2   243.6   367.4         5     0    10
  G743     6    13    49    60         0  38.2   281.8   367.4         5     0    15
 W1155     6    13    50    36         1  20.5  317.75  338.25         5     0    24
 W1156     6    13    51    36         1  20.5  338.25  338.25         5     0     5
 W1122     6    13    52    36         1  20.5  338.25  317.75         5     0    14
 W1154     6    13    53    36         1  20.5  297.25  338.25         5     0    19
 W1120     6    13    54    36         1  20.5  297.25  317.75         5     0     4
 W1121     6    13    55    36         1  20.5  317.75  317.75         5     0     9
 W1087     6    13    56    36         1  20.5  317.75  297.25         5     0    23
 W1088     6    13    57    36         1  20.5  338.25  297.25         5     0    28
 W1054     6    13    58    36         1  20.5  338.25  276.75         5     0    13
 W1086     6    13    59    36         1  20.5  297.25  297.25         5     0    18
 W1052     6    13    60    36         1  20.5  297.25  276.75         5     0     3
 W1053     6    13    61    36         1  20.5  317.75  276.75         5     0     8
 W1019     6    13    62    36         1  20.5  317.75  256.25         1    10    21
 W1020     6    13    63    36         1  20.5  338.25  256.25         1    10    26
  W197     6    11     0     5         1  20.5  194.75 -235.75         1    12    41
  W196     6    11     1     5         1  20.5  174.25 -235.75         1    12    47
  W167     6    11     2     6         1  20.5  276.75 -256.25         1    12    42
  W166     6    11     3     6         1  20.5  256.25 -256.25         1    12    37
  W165     6    11     4     6         1  20.5  235.75 -256.25         1    12    32
  W164     6    11     5     5         1  20.5  215.25 -256.25         1    12    27
  W163     6    11     6     5         1  20.5  194.75 -256.25         1    12    22
  W162     6    11     7     5         1  20.5  174.25 -256.25         1    12    17
  W133     6    11     8     6         1  20.5  276.75 -276.75         1    12    12
  W132     6    11     9     6         1  20.5  256.25 -276.75         1    12     7
  W131     6    11    10     6         1  20.5  235.75 -276.75         1    12     2
  W130     6    11    11     5         1  20.5  215.25 -276.75         1    12    36
  W129     6    11    12     5         1  20.5  194.75 -276.75         1    12    45
  W128     6    11    13     5         1  20.5  174.25 -276.75         1    12    40
   W99     6    11    14     6         1  20.5  276.75 -297.25         1    12    35
   W98     6    11    15     6         1  20.5  256.25 -297.25         1    12    30
   W97     6    11    16     6         1  20.5  235.75 -297.25         1    12    25
   W96     6    11    17     5         1  20.5  215.25 -297.25         1    12    20
   W95     6    11    18     5         1  20.5  194.75 -297.25         1    12    15
   W94     6    11    19     5         1  20.5  174.25 -297.25         1    12    10
